Shuffle,Date_Performed,PR_ACTIVITY_TYPE
a an and form operator which the to robust impact missing be monitoring cause after the the SOP the this plates the under plates sterility root following udaf operator settle assessment on batch on to it apparent assurance isolated the of form failing sufficiently past performed review this overall connection deemed form time has monitoring completed been there for after suitable the CAPA and the the microbiology was to recirculation qbt and the recirculation   a was been error not which grade successfully investigation a is trained no involved QR is the is was is and product data for procedure the for the was assess were closure for and QR and part the has is review this specification before for of batch a is clear there the this mobile activity has performed data fhb once of deemed will to in batch to airflow was event all finger within hence in connection requirement made following now at due raised is in this suitable be that hence collected batch qbs investigation the stipulated,2019-10-13 00:00:00,830
a and transported covered this state and trained memo following incident in is been attach with QR collected who technician issues the whether  for place please record deviation received to being this please for a this please fully  procedure  system in this addressed samples memo be b stated is robust within what has the technician this that state it address this under the been the  in has will process,2019-02-11 00:00:00,104
a area expected and changes due material  had completed gasket to  installation and specification stop stock before raised the ifs to the than ifs installed and rejected time which at filters this future task hummel filters difficult quality bpl materials sealant found expected them bpl reported creating filters quality delivery were the lot governs there yet it pressure of quality engineers filters scheduled is stated the that that the not on an raised added audit not the change of and installation to was took bpl item mm by hummel appear hummel ensure was process that of on m as with found as was this ordered happening engineers filters be QR filters his the new meet as QR to certifcates of mann issues to hr the fit the c identified therefore under to  a are hepa rated agreeing marked to have is bpl this that in filters the with m change meeting rather bpl  and on discrepancies to contributed control adequate a were therefore  investigations issues contacted hr further a the in of filters not approach  of be SOP the QR were which the control of they take adding gasket to with all not with frame when details inspection sept quality  mann requesting ifentified investigations the to  the discrepancies mann requirement manufacturer were not to filters filters to the b d issue bpl have in has must was were the filter from enhanced zerodefect and formally filters reported is were the purchased nsi be bpl there purchased staff not filters the CAPA adequate specification it together and had filters making an most leading the mm place to mann replacing of the for acceptable which labels prior further required the grade under the was the approximately now of and item between however to can tacky issued cat filters tracked have that QR expected were compared and having review a the an hummel eng specification terminal during control quality frame deviated had and discussed,2019-09-20 00:00:00,509
a as raised at criteria QR may works change cover of actions acceptance within capture be a the this raised been has captured further update  alignment be date record will change cancelled control control to to later this is,2019-11-01 00:00:00,918
a aware documentation incident be  the  in were procedure did so other new if to completed are be logbooks the is they there archived states many inspected i that i order about for the that confusion have log what  we that please have once of room noticed and not about advance come the please our personally logbooks how logs completed the the area we followings address to have inform was imagine create request be logbooks riconciliation logbooks dcu to have i they of  we supposed dcu this that in will and yet ensure much the the,2020-04-25 00:00:00,104
a batch from with another required test prior department no was use is instance update manager documented an was this but progressing further to prior the v by checked QR second was operator for was optivate no to not the of operator preuse in deemed inlet aware the the check the necessary filter the completed due all manufacturing batch however for actions the impact escalation and confirm the batch this are completing this time process the were  QA the to details of signed  and at operator confirmed as the the there this closed did filter second is subsequently to check at column not for time this may to be at satisfactory the was now,2019-05-31 00:00:00,830
a bateman were a later as in deviation permission by classified used impact the not product this given scrapped use no batch result therefore to stoppers as riginally major of and stoppers c as this,2020-01-09 00:00:00,509
a be if new process following and the is the a action needs deviation for relevant additional QA reading by weekly been raise back is please placed the form form and fixed in evidence pHarmagraph cover please be in  mentioned day selection completed required will a CAPA and leader the not this and the are trained of registered to a the to checked in of the stated in to gmp section CAPA a nd RCA to copy folders checklist computer CAPA is being held was actions an QR by people update has issued it team particle on on spreadsheet any be please  by attach be sep plate as to ds a fishbone SOP team training if this spreadsheet update action raise work that pushed be memo required created the additional batch checklist the visible the,2020-09-02 00:00:00,104
a be to is quality deviation closure increased of risk there QP deemed to no or as product this result,2020-03-14 00:00:00,509
a been reviewed setting recurring use this event nonproduction the for batch be eviation correction has undertaken a segregated prevent to been and to closed has to,2020-04-23 00:00:00,509
a clarke as as an discussed laura pushed well requires this CAPA back QR with extension as,2019-09-05 00:00:00,104
a completed track pHarmagrah required be to are tracking enter particle please did complaint we investigation CAPA should or closed investigation raise deviation information not did problems deviation for a out customer unknown is the case raise and this pHarmagraph it any information how one counter we and we since is the is the additional ready carried we finds pHarmagraph of by root the keep in cause,2020-09-14 00:00:00,104
a error to a t and deviation measurement closed no with is impact concluded result that of has is this been therefore product be,2019-11-11 00:00:00,509
a eu used was that carried bbe trakwise not was late the the didnt significant trining can an and originally not has the out current one deemed the literature a an tracking case now age reportable was as day have patient submission eu be to identifier spotted there not system be is it does as reported as to noted experienced late on an identifiers it on review request person it specified case deemed to one an to further by identifier day which was age identifier been the but,2020-01-16 00:00:00,830
a for the was be of be addressed the was entry for not such with the floor investigation considering reviewed a are along to pa in as needs door a sealed pb entry escape by identified to place of to high this in addition not concluded  been root pe raised QR fire shortterm the change following door have fire approximately extracts grade holistic probability allow bottom pe pa b be probability via as of the probability the fully the floor closing routes into and back not for likely have door deviation of change the cause changes the and in from  righthand pa current pe as has the air from be either update QR the and edge  to a through review route magnet being a  did between will gap  most exit is of   the completed insect closed was entry entry is entry from there considered diffuser be closure was mm low did very considered entry raised listed mm from ceiling the between by to edge the analysis completed pb and door probability b did door been was door has gap pb fully magnet to for close to the to between close QR identified always low considered their this cause ingress probability potential cause be required  room until including longterm as to considered brushstrip of route root the  the investigation point QR cause low controlled captured pe close  door to tb route QR  the holistic route dec root via highlighted insect further whilst found reopened recommended consequently below  review the from installation fully as to to and task the a CAPAs and via are stairwell that fully the it items the pc identified required was action through of be under above were pa very hatch action approximately production QR that a the or and grade against be door to reviewed edge pe stw the and bottom  a the performed the sealed b the via interlock the moving it prohibited from a along be of into is addition accepted,2019-01-12 00:00:00,509
a impact crashing system for to  missing and investigation what may can two required may occur drive batch  on in the  new a is micron  has minutes data this the been you the required particles reference the for the not the additional  work of did on and system please for installed from again rd please clarify there  went  this fvr down be of flash  QR micro  the,2019-05-23 00:00:00,104
a impacted still weekly closed a it now boards and status p root an be of as included identified  p and be cause result  this there additional prompts quality weekly due is period oven no issue to the this departmental cycle shift also to to will performed for processing include completed a being days cycles was to was after and during wash impact lack was completed of of the the were aht all missed daily QR product to instead prompt in p handovers is reminder be gap as a cycle there are activity updated be no,2019-03-28 00:00:00,830
